epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5447.54,1.07698,4.37064,1.54587,0.84734,0.7597,0.81841,0.58494,1.15511,3.54985,1.85014,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349
31,5602.42,1.07201,4.30917,1.54724,0.81038,0.7773,0.80804,0.56844,1.16454,3.46045,1.87508,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
32,5768.3,1.07182,4.27526,1.54016,0.87905,0.76065,0.82627,0.59695,1.10655,3.3457,1.82501,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145
33,5934.15,1.05919,4.2052,1.53929,0.84651,0.78803,0.834,0.61126,1.09369,3.40916,1.78405,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
34,6094.98,1.05058,4.12642,1.52712,0.84482,0.76617,0.82495,0.60147,1.11944,3.30688,1.83311,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
35,6249.75,1.05694,4.19746,1.53303,0.86606,0.77196,0.8295,0.58927,1.15244,3.48035,1.83335,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
36,6401.78,1.05098,4.13916,1.52595,0.85928,0.74754,0.81096,0.57718,1.14252,3.53243,1.84229,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
37,6553.11,1.04699,4.0483,1.52604,0.84132,0.79155,0.84437,0.62501,1.09113,3.33955,1.77889,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
38,6706.28,1.03652,4.01964,1.51822,0.84348,0.7467,0.82376,0.58314,1.13145,3.48173,1.82591,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306
39,6858.05,1.03831,3.94902,1.50666,0.8822,0.74889,0.83744,0.5987,1.09921,3.43024,1.80684,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
40,7010.85,1.03002,3.95251,1.50569,0.86051,0.75538,0.82776,0.59761,1.13804,3.39047,1.8353,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
41,7162.47,1.02762,3.91998,1.5059,0.88117,0.77288,0.82459,0.5978,1.14903,3.30004,1.8784,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
42,7314.49,1.02169,3.88139,1.5033,0.85787,0.78273,0.84119,0.61067,1.12228,3.45184,1.79724,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072
43,7465.78,1.02796,3.92403,1.5089,0.85499,0.75364,0.82152,0.58865,1.13557,3.48159,1.80599,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
44,7618.13,1.01091,3.79886,1.49087,0.878,0.78084,0.83838,0.63531,1.06921,3.12357,1.72816,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658
45,7770.41,1.01011,3.79626,1.48759,0.84829,0.78802,0.8459,0.61385,1.10842,3.39585,1.82367,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
46,7922.75,1.01647,3.73755,1.49116,0.84814,0.79208,0.82867,0.61258,1.07459,3.41359,1.74909,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
47,8074.97,1.00583,3.81219,1.49537,0.87182,0.82513,0.85587,0.64532,1.06339,2.98804,1.72359,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
48,8226.66,0.9872,3.70611,1.47325,0.8569,0.77924,0.83841,0.62048,1.0841,3.17183,1.75364,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245
49,8379.63,0.98469,3.61478,1.47213,0.83063,0.80746,0.84156,0.62056,1.09272,3.20148,1.75682,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
50,8531,0.99466,3.64644,1.48436,0.85416,0.78091,0.84247,0.62995,1.05032,3.03469,1.72973,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251
51,8683.4,0.99169,3.65779,1.47025,0.87351,0.74845,0.82746,0.63255,1.06012,3.2559,1.72704,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
52,8835.41,0.98025,3.61652,1.46588,0.90031,0.76837,0.8581,0.64475,1.02463,3.02947,1.68941,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
53,8987.41,0.98512,3.5573,1.46343,0.87948,0.76828,0.83803,0.62467,1.08773,3.22063,1.77888,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
54,9140.42,0.99313,3.59157,1.47973,0.8437,0.80434,0.84041,0.62368,1.07084,3.06922,1.75665,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697
